
SOAP Analysis Report Output for starlink_100_sats_3.orb,
Generated: Thu Dec 15 22:26:46 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
   72703.744,   82069.379,    9365.636,
   84189.671,   86400.000,    2210.329,
Is_True,          77.8173%,
Analysis,STARLINK-3349 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,    1698.306,    1698.306,
    3833.688,   13165.263,    9331.575,
   15297.919,   24643.724,    9345.805,
   26776.562,   30389.322,    3612.760,
   32524.393,   41887.198,    9362.805,
   44009.472,   53354.022,    9344.550,
   55470.956,   59090.362,    3619.406,
   61206.286,   70572.126,    9365.840,
   72689.500,   82078.025,    9388.525,
   84189.096,   86400.000,    2210.904,
Is_True,          77.8709%,
Analysis,STARLINK-3349 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,    1682.321,    1682.321,
    3822.305,   13170.142,    9347.836,
   15322.666,   24658.130,    9335.464,
   26785.614,   30391.302,    3605.688,
   32516.919,   41865.204,    9348.286,
   43989.508,   53354.112,    9364.604,
   55482.453,   59110.894,    3628.440,
   61233.610,   70583.750,    9350.140,
   72693.554,   82055.710,    9362.157,
   84162.747,   86400.000,    2237.253,
Is_True,          77.8498%,
Analysis,STARLINK-2272 - STARLINK-3538,
       Rise,         Set, Duration (s),
   64001.506,   65155.613,    1154.107,
Is_True,           1.3358%,
Analysis,STARLINK-2272 - STARLINK-1121,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-1909,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-2118,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-2027,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-1141,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2272 - STARLINK-3156,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-1603,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
