
SOAP Analysis Report Output for starlink_starlink_20_sats_32.orb,
Generated: Thu Dec 15 21:12:19 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
   75463.629,   76091.746,     628.118,
Is_True,           3.7288%,
Analysis,STARLINK-1954 - STARLINK-2755,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1954 - STARLINK-2615,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1954 - STARLINK-1088,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1954 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,    1593.023,    1593.023,
    5663.054,    9101.555,    3438.501,
   11260.341,   20578.339,    9317.998,
   22736.668,   32047.995,    9311.327,
   34206.769,   37785.348,    3578.579,
   39945.045,   43525.879,    3580.834,
   51427.697,   60750.109,    9322.412,
   62905.483,   66486.339,    3580.856,
   68640.354,   77956.935,    9316.581,
   80110.014,   86400.000,    6289.986,
Is_True,          68.6691%,
Analysis,STARLINK-1954 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,    3345.673,    3345.673,
    5498.921,    9078.643,    3579.721,
   11235.029,   20557.012,    9321.983,
   22717.767,   32049.822,    9332.055,
   34213.507,   37794.474,    3580.967,
   39948.370,   49249.218,    9300.848,
   51406.377,   60724.905,    9318.529,
   62882.441,   66468.347,    3585.906,
   68625.458,   77965.859,    9340.401,
   80119.525,   86400.000,    6280.475,
Is_True,          77.5307%,
Analysis,STARLINK-1954 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,    3346.905,    3346.905,
    5506.435,    9093.997,    3587.562,
   11255.948,   20567.911,    9311.963,
   22722.281,   32031.111,    9308.829,
   34190.115,   37769.699,    3579.584,
   39929.840,   49257.671,    9327.830,
   51419.151,   60745.770,    9326.619,
   62897.085,   66471.097,    3574.012,
   68624.035,   77940.691,    9316.656,
   80092.978,   86400.000,    6307.022,
Is_True,          77.5312%,
Analysis,STARLINK-1954 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,    3371.933,    3371.933,
    5529.818,    9113.827,    3584.010,
   11271.039,   20588.315,    9317.276,
   22744.901,   32052.734,    9307.833,
   34208.869,   37787.186,    3578.317,
   39951.089,   49280.874,    9329.785,
   51441.051,   60759.075,    9318.025,
   62915.722,   66494.330,    3578.607,
   68648.869,   77958.942,    9310.073,
   80109.799,   86400.000,    6290.201,
Is_True,          77.5302%,
Analysis,STARLINK-1954 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,    3370.869,    3370.869,
    5523.297,    9101.993,    3578.696,
   16993.760,   20580.494,    3586.734,
   22743.026,   32067.003,    9323.977,
   34226.743,   37805.101,    3578.358,
   39963.784,   49273.814,    9310.030,
   51429.901,   60744.851,    9314.951,
   62905.855,   66493.687,    3587.832,
   68651.764,   77977.207,    9325.443,
   80130.517,   86400.000,    6269.483,
Is_True,          70.8870%,
Analysis,STARLINK-1016 - STARLINK-1773,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1016 - STARLINK-2706,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1016 - STARLINK-2568,
       Rise,         Set, Duration (s),
    6524.745,    7478.886,     954.141,
   17989.725,   21807.303,    3817.578,
   32323.674,   36141.362,    3817.687,
   46652.166,   50469.758,    3817.592,
   60986.122,   64803.822,    3817.700,
   75314.592,   76268.802,     954.210,
Is_True,          19.8830%,
Analysis,STARLINK-1016 - STARLINK-3698,
       Rise,         Set, Duration (s),
       0.000,     206.887,     206.887,
   10666.009,   14507.451,    3841.441,
   24848.321,   25344.778,     496.457,
Is_True,           5.2602%,
Analysis,STARLINK-1016 - STARLINK-3566,
       Rise,         Set, Duration (s),
    6983.625,    7795.771,     812.146,
   21121.612,   21708.698,     587.086,
Is_True,           1.6195%,
