
SOAP Analysis Report Output for starlink_20_sats_40.orb,
Generated: Mon Jan 09 13:33:10 2023,
Start: 2016/04/05 01:42:00.00, Stop: 2016/04/06 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3718 - STARLINK-3255,
Is_True,          30.8719%,
Analysis,STARLINK-1457 - STARLINK-3397,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-1849,
       Rise,         Set, Duration (s),
       0.000,     225.538,     225.538,
   13735.939,   14619.229,     883.290,
   28133.114,   29006.116,     873.002,
   42523.062,   43399.770,     876.707,
   56920.288,   57786.592,     866.304,
   71310.254,   72180.208,     869.954,
   85707.531,   86400.000,     692.469,
Is_True,           6.1195%,
Analysis,STARLINK-1457 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    1018.049,   10720.753,    9702.705,
   18351.798,   28122.703,    9770.905,
   29908.573,   45442.841,   15534.268,
   47216.497,   57040.139,    9823.642,
   64576.272,   74448.799,    9872.527,
   76141.669,   85990.771,    9849.102,
Is_True,          74.7143%,
Analysis,STARLINK-1457 - IOAG-North1,
       Rise,         Set, Duration (s),
    1031.390,   10729.169,    9697.779,
   12558.324,   16520.763,    3962.440,
   18325.962,   28108.667,    9782.705,
   29876.213,   45462.635,   15586.422,
   47230.340,   57046.435,    9816.095,
   58764.431,   74446.988,   15682.557,
   76112.541,   86017.541,    9905.001,
Is_True,          86.1493%,
Analysis,STARLINK-1457 - IOAG-North2,
       Rise,         Set, Duration (s),
    1003.926,   10743.884,    9739.958,
   12556.350,   16532.392,    3976.042,
   18342.132,   28089.929,    9747.797,
   29889.476,   45476.926,   15587.450,
   47204.266,   57068.736,    9864.470,
   58776.628,   74415.375,   15638.746,
   76111.242,   86020.965,    9909.723,
Is_True,          86.1854%,
Analysis,STARLINK-1457 - IOAG-South1,
       Rise,         Set, Duration (s),
    1024.361,   10713.328,    9688.967,
   12576.647,   16502.420,    3925.773,
   18360.130,   28091.881,    9731.751,
   29921.360,   45468.345,   15546.985,
   47218.642,   57019.463,    9800.821,
   58792.277,   74411.695,   15619.417,
   76151.480,   86021.396,    9869.917,
Is_True,          85.8607%,
Analysis,STARLINK-1457 - IOAG-South2,
       Rise,         Set, Duration (s),
    1044.742,   10739.007,    9694.265,
   12596.286,   16533.678,    3937.391,
   18362.923,   28079.399,    9716.476,
   29892.933,   45449.310,   15556.377,
   47248.899,   57050.347,    9801.448,
   58807.676,   74395.663,   15587.987,
   76126.122,   85975.892,    9849.770,
Is_True,          85.8145%,
Analysis,STARLINK-1465 - STARLINK-3458,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-3632,
       Rise,         Set, Duration (s),
       0.000,     265.426,     265.426,
    4237.140,    9710.132,    5472.991,
   13679.178,   19623.971,    5944.793,
   23121.492,   29069.866,    5948.374,
   32570.481,   38519.909,    5949.428,
   42489.986,   47967.030,    5477.044,
   51938.492,   57416.901,    5478.409,
   60919.133,   66872.320,    5953.186,
   70374.098,   76325.741,    5951.643,
   79826.250,   85307.977,    5481.728,
Is_True,          60.0961%,
Analysis,STARLINK-1465 - STARLINK-2390,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-1138,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-2624,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-3568,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1465 - STARLINK-1433,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-3543,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-1378,
       Rise,         Set, Duration (s),
