
SOAP Analysis Report Output for starlink_80_sats_43.orb,
Generated: Fri Dec 16 10:22:47 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
   32170.099,   32818.278,     648.179,
   40411.897,   47172.328,    6760.431,
   57224.837,   64012.056,    6787.219,
   71545.394,   72286.274,     740.880,
Is_True,          17.2879%,
Analysis,STARLINK-2702 - STARLINK-1217,
       Rise,         Set, Duration (s),
       0.000,      48.329,      48.329,
   10607.613,   11513.555,     905.942,
   24938.808,   25844.906,     906.098,
   39269.896,   40176.595,     906.699,
   53601.084,   54507.937,     906.853,
   67932.173,   68839.601,     907.428,
   82263.354,   83170.933,     907.579,
Is_True,           6.3529%,
Analysis,STARLINK-2702 - FALCON 9 DEB2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3165,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2732,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3226,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2375,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-1683,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2702 - STARLINK-3781,
       Rise,         Set, Duration (s),
   45946.675,   53110.509,    7163.834,
   57419.796,   58133.613,     713.817,
Is_True,           9.1177%,
Analysis,STARLINK-2702 - STARLINK-1706,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2702 - STARLINK-3296,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3651,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3828,
       Rise,         Set, Duration (s),
    3486.606,    4126.367,     639.761,
   17225.696,   18401.162,    1175.467,
   28534.184,   29498.489,     964.305,
Is_True,           3.2171%,
Analysis,STARLINK-2702 - STARLINK-2421,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3386,
       Rise,         Set, Duration (s),
    7057.673,   11021.679,    3964.005,
   21380.095,   25345.176,    3965.081,
   35713.212,   39678.695,    3965.484,
   50035.441,   56872.743,    6837.302,
   64368.390,   65464.644,    1096.254,
   78690.435,   79797.945,    1107.510,
Is_True,          24.2311%,
Analysis,STARLINK-2702 - STARLINK-1678,
       Rise,         Set, Duration (s),
    2696.390,    4369.840,    1673.450,
   14135.765,   15857.634,    1721.868,
   19855.438,   21601.501,    1746.063,
   31294.712,   33089.208,    1794.496,
   42733.838,   50320.785,    7586.947,
   59892.090,   61808.585,    1916.495,
   71330.518,   79040.533,    7710.016,
   80557.670,   86400.000,    5842.330,
Is_True,          34.7126%,
Analysis,STARLINK-2702 - STARLINK-3614,
       Rise,         Set, Duration (s),
   82473.363,   83179.109,     705.745,
Is_True,           0.8168%,
Analysis,STARLINK-2702 - STARLINK-3615,
       Rise,         Set, Duration (s),
   24889.919,   25655.169,     765.250,
Is_True,           0.8857%,
Analysis,STARLINK-2702 - STARLINK-2378,
       Rise,         Set, Duration (s),
     682.693,    7541.575,    6858.882,
   17878.974,   21881.759,    4002.785,
   32198.543,   36202.850,    4004.307,
   46539.464,   50543.069,    4003.605,
   60859.026,   67739.862,    6880.836,
   75199.983,   82060.919,    6860.937,
Is_True,          37.7446%,
Analysis,STARLINK-2702 - STARLINK-2763,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3347,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2702 - STARLINK-1142,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2487,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3808,
       Rise,         Set, Duration (s),
   43664.248,   67629.603,   23965.355,
Is_True,          27.7377%,
Analysis,STARLINK-2702 - STARLINK-2323,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-1453,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-1346,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2598,
       Rise,         Set, Duration (s),
       0.000,     182.337,     182.337,
   10787.822,   14512.519,    3724.697,
   25119.643,   28843.742,    3724.099,
   39450.017,   40308.306,     858.290,
   53781.835,   54638.494,     856.659,
   68112.204,   68969.721,     857.517,
   82444.020,   83299.913,     855.893,
Is_True,          12.8003%,
Analysis,STARLINK-2702 - STARLINK-2006,
       Rise,         Set, Duration (s),
   79145.421,   79510.430,     365.009,
Is_True,           0.4225%,
Analysis,STARLINK-2702 - STARLINK-1810,
       Rise,         Set, Duration (s),
    6939.966,   10948.267,    4008.301,
   21258.171,   28144.199,    6886.028,
   35602.977,   42462.700,    6859.723,
   49921.113,   51072.131,    1151.018,
   64265.962,   65390.594,    1124.632,
   78584.029,   79732.080,    1148.052,
Is_True,          24.5113%,
Analysis,STARLINK-2702 - STARLINK-1871,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3050,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3601,
       Rise,         Set, Duration (s),
   53955.438,   54488.748,     533.310,
   67720.863,   68500.379,     779.516,
   78984.334,   79464.697,     480.363,
Is_True,           2.0755%,
Analysis,STARLINK-2702 - STARLINK-1789,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2702 - STARLINK-1999,
       Rise,         Set, Duration (s),
       0.000,      24.720,      24.720,
   39545.782,   40151.729,     605.947,
   53872.560,   54485.890,     613.330,
   68206.430,   68813.866,     607.436,
   82533.220,   83148.026,     614.806,
Is_True,           2.8544%,
Analysis,STARLINK-2702 - STARLINK-1849,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-1042,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2602,
       Rise,         Set, Duration (s),
   10201.222,   11068.637,     867.415,
   24534.252,   25396.532,     862.280,
   35998.653,   39730.045,    3731.392,
   50326.614,   54057.936,    3731.322,
   64659.669,   65522.500,     862.831,
   78987.630,   79856.027,     868.397,
Is_True,          12.6431%,
Analysis,STARLINK-2702 - STARLINK-3796,
       Rise,         Set, Duration (s),
   21284.834,   47804.031,   26519.197,
Is_True,          30.6935%,
Analysis,STARLINK-2702 - STARLINK-1413,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-1121,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2346,
       Rise,         Set, Duration (s),
   10553.608,   10873.471,     319.863,
Is_True,           0.3702%,
Analysis,STARLINK-2702 - STARLINK-1793,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2282,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2335,
       Rise,         Set, Duration (s),
    6745.755,   13822.365,    7076.610,
   21068.060,   28159.566,    7091.506,
   35406.613,   42483.069,    7076.456,
   49728.905,   51088.159,    1359.254,
   58335.316,   65411.650,    7076.334,
   72657.599,   79748.923,    7091.325,
Is_True,          42.5596%,
Analysis,STARLINK-2702 - STARLINK-3609,
       Rise,         Set, Duration (s),
   68175.335,   68858.894,     683.559,
   82151.345,   82994.312,     842.967,
Is_True,           1.7668%,
Analysis,STARLINK-2702 - FALCON 9 DEB17,
       Rise,         Set, Duration (s),
    9661.397,   14108.036,    4446.639,
   14565.706,   27911.594,   13345.888,
   32107.652,   32758.300,     650.648,
Is_True,          21.3463%,
Analysis,STARLINK-2702 - STARLINK-3218,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-2702 - STARLINK-2388,
       Rise,         Set, Duration (s),
    3522.191,    4027.878,     505.686,
   17935.459,   18282.463,     347.004,
   32167.711,   32705.604,     537.893,
   46575.047,   46966.129,     391.082,
   60814.391,   61382.180,     567.789,
   75217.205,   75647.233,     430.028,
Is_True,           3.2170%,
Analysis,STARLINK-2702 - STARLINK-2542,
